Block,Type,Condition_label,Group,Sentences,Prosody,Subject,Clitic_gender,Direct_object_gender,Indirect_object_gender,Num_inter_elements,Audio_files_numbering,File_prefix_of_all_audio_files,All_audio_files_original_name,Path_of_audio_files_final_name
BlockTarget_7,Target,A1,B, Сите волонтери и донираа по еден компјутер на организацијата.,Standard,Волонтери,и,компјутер_м,организација_м,0,STE-031,Targets,target_STE-031_mono.wav,Targets/mono/target_STE-031_mono.wav
BlockTarget_7,Target,B2,C, Волонтерите сите и донираа по еден компјутер на организацијата.,Rising + Comma < CL V,Волонтери,и,компјутер_м,организација_м,1,STE-032,Targets,target_STE-032_mono.wav,Targets/mono/target_STE-032_mono.wav
BlockTarget_7,Target,C3,D, Волонтерите и донираа сите по еден компјутер на организацијата.,Rising + Comma < DO,Волонтери,и,компјутер_м,организација_м,2,STE-033,Targets,target_STE-033_mono.wav,Targets/mono/target_STE-033_mono.wav
BlockTarget_7,Target,D4,E, Волонтерите и донираа по еден компјутер сите на организацијата.,Rising + Comma < IO,Волонтери,и,компјутер_м,организација_м,3,STE-034,Targets,target_STE-034_mono.wav,Targets/mono/target_STE-034_mono.wav
BlockTarget_7,Target,E5,A, Волонтерите и донираа по еден компјутер на организацијата сите.,Comma > Post S,Волонтери,и,компјутер_м,организација_м,4,STE-035,Targets,target_STE-035_mono.wav,Targets/mono/target_STE-035_mono.wav
BlockTarget_8,Target,A1,C, Сите гости му дадоа по еден подарок на славеникот.,Standard,Гости,му,подарок_м,славеник_м,0,STE-036,Targets,target_STE-036_mono.wav,Targets/mono/target_STE-036_mono.wav
BlockTarget_8,Target,B2,D, Гостите сите му дадоа по еден подарок на славеникот.,Rising + Comma < CL V,Гости,му,подарок_м,славеник_м,1,STE-037,Targets,target_STE-037_mono.wav,Targets/mono/target_STE-037_mono.wav
BlockTarget_8,Target,C3,E, Гостите му дадоа сите по еден подарок на славеникот.,Rising + Comma < DO,Гости,му,подарок_м,славеник_м,2,STE-038,Targets,target_STE-038_mono.wav,Targets/mono/target_STE-038_mono.wav
BlockTarget_8,Target,D4,A, Гостите му дадоа по еден подарок сите на славеникот.,Rising + Comma < IO,Гости,му,подарок_м,славеник_м,3,STE-039,Targets,target_STE-039_mono.wav,Targets/mono/target_STE-039_mono.wav
BlockTarget_8,Target,E5,B, Гостите му дадоа по еден подарок на славеникот сите.,Comma > Post S,Гости,му,подарок_м,славеник_м,4,STE-040,Targets,target_STE-040_mono.wav,Targets/mono/target_STE-040_mono.wav
BlockTarget_9,Target,A1,D, Сите домаќинки му послужија по едно благо на гостинот.,Standard,Домаќинки,му,благо_с,гостин_м,0,STE-041,Targets,target_STE-041_mono.wav,Targets/mono/target_STE-041_mono.wav
BlockTarget_9,Target,B2,E, Домаќинките сите му послужија по едно благо на гостинот.,Rising + Comma < CL V,Домаќинки,му,благо_с,гостин_м,1,STE-042,Targets,target_STE-042_mono.wav,Targets/mono/target_STE-042_mono.wav
BlockTarget_9,Target,C3,A, Домаќинките му послужија сите по едно благо на гостинот.,Rising + Comma < DO,Домаќинки,му,благо_с,гостин_м,2,STE-043,Targets,target_STE-043_mono.wav,Targets/mono/target_STE-043_mono.wav
BlockTarget_9,Target,D4,B, Домаќинките му послужија по едно благо сите на гостинот.,Rising + Comma < IO,Домаќинки,му,благо_с,гостин_м,3,STE-044,Targets,target_STE-044_mono.wav,Targets/mono/target_STE-044_mono.wav
BlockTarget_9,Target,E5,C, Домаќинките му послужија по едно благо на гостинот сите,Comma > Post S,Домаќинки,му,благо_с,гостин_м,4,STE-045,Targets,target_STE-045_mono.wav,Targets/mono/target_STE-045_mono.wav
BlockTarget_10,Target,A1,E, Сите мажи и однесоа по една кошула на шнајдерката.,Standard,Мажи,и,кошула_ж,шнајдерка_ж,0,STE-046,Targets,target_STE-046_mono.wav,Targets/mono/target_STE-046_mono.wav
BlockTarget_10,Target,B2,A, Мажите сите и однесоа по една кошула на шнајдерката.,Rising + Comma < CL V,Мажи,и,кошула_ж,шнајдерка_ж,1,STE-047,Targets,target_STE-047_mono.wav,Targets/mono/target_STE-047_mono.wav
BlockTarget_10,Target,C3,B, Мажите и однесоа сите по една кошула на шнајдерката.,Rising + Comma < DO,Мажи,и,кошула_ж,шнајдерка_ж,2,STE-048,Targets,target_STE-048_mono.wav,Targets/mono/target_STE-048_mono.wav
BlockTarget_10,Target,D4,C, Мажите и однесоа по една кошула сите на шнајдерката.,Rising + Comma < IO,Мажи,и,кошула_ж,шнајдерка_ж,3,STE-049,Targets,target_STE-049_mono.wav,Targets/mono/target_STE-049_mono.wav
BlockTarget_10,Target,E5,D, Мажите и однесоа по една кошула на шнајдерката сите.,Comma > Post S,Мажи,и,кошула_ж,шнајдерка_ж,4,STE-050,Targets,target_STE-050_mono.wav,Targets/mono/target_STE-050_mono.wav
BlockTarget_11,Target,A1,A, Сите учесници му претставија по еден концепт на жирито.,Standard,Учесници,му,концепт_м,жири_м,0,STE-051,Targets,target_STE-051_mono.wav,Targets/mono/target_STE-051_mono.wav
BlockTarget_11,Target,B2,B, Учесниците сите му претставија по еден концепт на жирито.,Rising + Comma < CL V,Учесници,му,концепт_м,жири_м,1,STE-052,Targets,target_STE-052_mono.wav,Targets/mono/target_STE-052_mono.wav
BlockTarget_11,Target,C3,C, Учесниците му претставија сите по еден концепт на жирито.,Rising + Comma < DO,Учесници,му,концепт_м,жири_м,2,STE-053,Targets,target_STE-053_mono.wav,Targets/mono/target_STE-053_mono.wav
BlockTarget_11,Target,D4,D, Учесниците му претставија по еден концепт сите на жирито.,Rising + Comma < IO,Учесници,му,концепт_м,жири_м,3,STE-054,Targets,target_STE-054_mono.wav,Targets/mono/target_STE-054_mono.wav
BlockTarget_11,Target,E5,E, Учесниците му претставија по еден концепт на жирито сите.,Comma > Post S,Учесници,му,концепт_м,жири_м,4,STE-055,Targets,target_STE-055_mono.wav,Targets/mono/target_STE-055_mono.wav
BlockTarget_12,Target,A1,B, Сите новинари му испратија по една статија на уредникот.,Standard,Новинари,му,статија_ж,уредник_м,0,STE-056,Targets,target_STE-056_mono.wav,Targets/mono/target_STE-056_mono.wav
BlockTarget_12,Target,B2,C, Новинарите сите му испратија по една статија на уредникот.,Rising + Comma < CL V,Новинари,му,статија_ж,уредник_м,1,STE-057,Targets,target_STE-057_mono.wav,Targets/mono/target_STE-057_mono.wav
BlockTarget_12,Target,C3,D, Новинарите му испратија сите по една статија на уредникот.,Rising + Comma < DO,Новинари,му,статија_ж,уредник_м,2,STE-058,Targets,target_STE-058_mono.wav,Targets/mono/target_STE-058_mono.wav
BlockTarget_12,Target,D4,E, Новинарите му испратија по една статија сите на уредникот.,Rising + Comma < IO,Новинари,му,статија_ж,уредник_м,3,STE-059,Targets,target_STE-059_mono.wav,Targets/mono/target_STE-059_mono.wav
BlockTarget_12,Target,E5,A, Новинарите му испратија по една статија на уредникот сите.,Comma > Post S,Новинари,му,статија_ж,уредник_м,4,STE-060,Targets,target_STE-060_mono.wav,Targets/mono/target_STE-060_mono.wav
BlockTarget_13,Target,A1,C, Сите фирми му вратија по еден дел на произведувачот.,Standard,Фирми,му,дел_м,произведувач_м,0,STE-061,Targets,target_STE-061_mono.wav,Targets/mono/target_STE-061_mono.wav
BlockTarget_13,Target,B2,D, Фирмите сите му вратија по еден дел на произведувачот.,Rising + Comma < CL V,Фирми,му,дел_м,произведувач_м,1,STE-062,Targets,target_STE-062_mono.wav,Targets/mono/target_STE-062_mono.wav
BlockTarget_13,Target,C3,E, Фирмите му вратија сите по еден дел на произведувачот.,Rising + Comma < DO,Фирми,му,дел_м,произведувач_м,2,STE-063,Targets,target_STE-063_mono.wav,Targets/mono/target_STE-063_mono.wav
BlockTarget_13,Target,D4,A, Фирмите му вратија по еден дел сите на произведувачот.,Rising + Comma < IO,Фирми,му,дел_м,произведувач_м,3,STE-064,Targets,target_STE-064_mono.wav,Targets/mono/target_STE-064_mono.wav
BlockTarget_13,Target,E5,B, Фирмите му вратија по еден дел на произведувачот сите.,Comma > Post S,Фирми,му,дел_м,произведувач_м,4,STE-065,Targets,target_STE-065_mono.wav,Targets/mono/target_STE-065_mono.wav
BlockTarget_14,Target,A1,D, Сите доктори му препишаа по еден лек на пациентот.,Standard,Доктори,му,лек_м,пациент_м,0,STE-066,Targets,target_STE-066_mono.wav,Targets/mono/target_STE-066_mono.wav
BlockTarget_14,Target,B2,E, Докторите сите му препишаа по еден лек на пациентот.,Rising + Comma < CL V,Доктори,му,лек_м,пациент_м,1,STE-067,Targets,target_STE-067_mono.wav,Targets/mono/target_STE-067_mono.wav
BlockTarget_14,Target,C3,A, Докторите му препишаа сите по еден лек на пациентот.,Rising + Comma < DO,Доктори,му,лек_м,пациент_м,2,STE-068,Targets,target_STE-068_mono.wav,Targets/mono/target_STE-068_mono.wav
BlockTarget_14,Target,D4,B, Докторите му препишаа по еден лек сите на пациентот.,Rising + Comma < IO,Доктори,му,лек_м,пациент_м,3,STE-069,Targets,target_STE-069_mono.wav,Targets/mono/target_STE-069_mono.wav
BlockTarget_14,Target,E5,C, Докторите му препишаа по еден лек на пациентот сите.,Comma > Post S,Доктори,му,лек_м,пациент_м,4,STE-070,Targets,target_STE-070_mono.wav,Targets/mono/target_STE-070_mono.wav
BlockTarget_15,Target,A1,E, Сите фанови и фрлија по едно цвеќе на глумицата.,Standard,Фанови,и,цвеќе_с,глумица_ж,0,STE-071,Targets,target_STE-071_mono.wav,Targets/mono/target_STE-071_mono.wav
BlockTarget_15,Target,B2,A, Фановите сите и фрлија по едно цвеќе на глумицата.,Rising + Comma < CL V,Фанови,и,цвеќе_с,глумица_ж,1,STE-072,Targets,target_STE-072_mono.wav,Targets/mono/target_STE-072_mono.wav
BlockTarget_15,Target,C3,B, Фановите и фрлија сите по едно цвеќе на глумицата.,Rising + Comma < DO,Фанови,и,цвеќе_с,глумица_ж,2,STE-073,Targets,target_STE-073_mono.wav,Targets/mono/target_STE-073_mono.wav
BlockTarget_15,Target,D4,C, Фановите и фрлија по едно цвеќе сите на глумицата.,Rising + Comma < IO,Фанови,и,цвеќе_с,глумица_ж,3,STE-074,Targets,target_STE-074_mono.wav,Targets/mono/target_STE-074_mono.wav
BlockTarget_15,Target,E5,D, Фановите и фрлија по едно цвеќе на глумицата сите.,Comma > Post S,Фанови,и,цвеќе_с,глумица_ж,4,STE-075,Targets,target_STE-075_mono.wav,Targets/mono/target_STE-075_mono.wav
BlockTarget_16,Target,A1,A, Сите научници му образложија по еден труд на одборот.,Standard,Научници,му,труд_м,одбор_м,0,STE-076,Targets,target_STE-076_mono.wav,Targets/mono/target_STE-076_mono.wav
BlockTarget_16,Target,B2,B, Научниците сите му образложија по еден труд на одборот.,Rising + Comma < CL V,Научници,му,труд_м,одбор_м,1,STE-077,Targets,target_STE-077_mono.wav,Targets/mono/target_STE-077_mono.wav
BlockTarget_16,Target,C3,C, Научниците му образложија сите по еден труд на одборот.,Rising + Comma < DO,Научници,му,труд_м,одбор_м,2,STE-078,Targets,target_STE-078_mono.wav,Targets/mono/target_STE-078_mono.wav
BlockTarget_16,Target,D4,D, Научниците му образложија по еден труд сите на одборот.,Rising + Comma < IO,Научници,му,труд_м,одбор_м,3,STE-079,Targets,target_STE-079_mono.wav,Targets/mono/target_STE-079_mono.wav
BlockTarget_16,Target,E5,E, Научниците му образложија по еден труд на одборот сите.,Comma > Post S,Научници,му,труд_м,одбор_м,4,STE-080,Targets,target_STE-080_mono.wav,Targets/mono/target_STE-080_mono.wav
BlockTarget_17,Target,A1,B, Сите сопственици му доставија по едно барање на советот.,Standard,Сопственици,му,барање_с,совет_м,0,STE-081,Targets,target_STE-081_mono.wav,Targets/mono/target_STE-081_mono.wav
BlockTarget_17,Target,B2,C, Сопствениците сите му доставија по едно барање на советот.,Rising + Comma < CL V,Сопственици,му,барање_с,совет_м,1,STE-082,Targets,target_STE-082_mono.wav,Targets/mono/target_STE-082_mono.wav
BlockTarget_17,Target,C3,D, Сопствениците му доставија сите по едно барање на советот.,Rising + Comma < DO,Сопственици,му,барање_с,совет_м,2,STE-083,Targets,target_STE-083_mono.wav,Targets/mono/target_STE-083_mono.wav
BlockTarget_17,Target,D4,E, Сопствениците му доставија по едно барање сите на советот.,Rising + Comma < IO,Сопственици,му,барање_с,совет_м,3,STE-084,Targets,target_STE-084_mono.wav,Targets/mono/target_STE-084_mono.wav
BlockTarget_17,Target,E5,A, Сопствениците му доставија по едно барање на советот сите.,Comma > Post S,Сопственици,му,барање_с,совет_м,4,STE-085,Targets,target_STE-085_mono.wav,Targets/mono/target_STE-085_mono.wav
BlockTarget_18,Target,A1,C, Сите програмери му донесоа по еден лаптоп на сервисерот.,Standard,Програмери,му,лаптоп_м,сервисер_м,0,STE-086,Targets,target_STE-086_mono.wav,Targets/mono/target_STE-086_mono.wav
BlockTarget_18,Target,B2,D, Програмерите сите му донесоа по еден лаптоп на сервисерот.,Rising + Comma < CL V,Програмери,му,лаптоп_м,сервисер_м,1,STE-087,Targets,target_STE-087_mono.wav,Targets/mono/target_STE-087_mono.wav
BlockTarget_18,Target,C3,E, Програмерите му донесоа сите по еден лаптоп на сервисерот.,Rising + Comma < DO,Програмери,му,лаптоп_м,сервисер_м,2,STE-088,Targets,target_STE-088_mono.wav,Targets/mono/target_STE-088_mono.wav
BlockTarget_18,Target,D4,A, Програмерите му донесоа по еден лаптоп сите на сервисерот.,Rising + Comma < IO,Програмери,му,лаптоп_м,сервисер_м,3,STE-089,Targets,target_STE-089_mono.wav,Targets/mono/target_STE-089_mono.wav
BlockTarget_18,Target,E5,B, Програмерите му донесоа по еден лаптоп на сервисерот сите.,Comma > Post S,Програмери,му,лаптоп_м,сервисер_м,4,STE-090,Targets,target_STE-090_mono.wav,Targets/mono/target_STE-090_mono.wav
BlockTarget_19,Target,A1,D, Сите фестивали му доделија по една награда на поетот.,Standard,Фестивали,му,награда_ж,поет_м,0,STE-091,Targets,target_STE-091_mono.wav,Targets/mono/target_STE-091_mono.wav
BlockTarget_19,Target,B2,E, Фестивалите сите му доделија по една награда на поетот.,Rising + Comma < CL V,Фестивали,му,награда_ж,поет_м,1,STE-092,Targets,target_STE-092_mono.wav,Targets/mono/target_STE-092_mono.wav
BlockTarget_19,Target,C3,A, Фестивалите му доделија сите по една награда на поетот.,Rising + Comma < DO,Фестивали,му,награда_ж,поет_м,2,STE-093,Targets,target_STE-093_mono.wav,Targets/mono/target_STE-093_mono.wav
BlockTarget_19,Target,D4,B, Фестивалите му доделија по една награда сите на поетот.,Rising + Comma < IO,Фестивали,му,награда_ж,поет_м,3,STE-094,Targets,target_STE-094_mono.wav,Targets/mono/target_STE-094_mono.wav
BlockTarget_19,Target,E5,C, Фестивалите му доделија по една награда на поетот сите.,Comma > Post S,Фестивали,му,награда_ж,поет_м,4,STE-095,Targets,target_STE-095_mono.wav,Targets/mono/target_STE-095_mono.wav
BlockTarget_20,Target,A1,E, Сите деца му подадоа по една топка на фудбалерот.,Standard,Деца,му,топка_ж,фудбалер_м,0,STE-096,Targets,target_STE-096_mono.wav,Targets/mono/target_STE-096_mono.wav
BlockTarget_20,Target,B2,A, Децата сите му подадоа по една топка на фудбалерот.,Rising + Comma < CL V,Деца,му,топка_ж,фудбалер_м,1,STE-097,Targets,target_STE-097_mono.wav,Targets/mono/target_STE-097_mono.wav
BlockTarget_20,Target,C3,B, Децата му подадоа сите по една топка на фудбалерот.,Rising + Comma < DO,Деца,му,топка_ж,фудбалер_м,2,STE-098,Targets,target_STE-098_mono.wav,Targets/mono/target_STE-098_mono.wav
BlockTarget_20,Target,D4,C, Децата му подадоа по една топка сите на фудбалерот.,Rising + Comma < IO,Деца,му,топка_ж,фудбалер_м,3,STE-099,Targets,target_STE-099_mono.wav,Targets/mono/target_STE-099_mono.wav
BlockTarget_20,Target,E5,D, Децата му подадоа по една топка на фудбалерот сите.,Comma > Post S,Деца,му,топка_ж,фудбалер_м,4,STE-100,Targets,target_STE-100_mono.wav,Targets/mono/target_STE-100_mono.wav
BlockTarget_21,Target,A1,A, Сите шанкери му направија по една пијачка на глумецот.,Standard,Шанкери,му,пијачка_ж,глумец_м,0,STE-101,Targets,target_STE-101_mono.wav,Targets/mono/target_STE-101_mono.wav
BlockTarget_21,Target,B2,B, Шанкерите сите му направија по една пијачка на глумецот.,Rising + Comma < CL V,Шанкери,му,пијачка_ж,глумец_м,1,STE-102,Targets,target_STE-102_mono.wav,Targets/mono/target_STE-102_mono.wav
BlockTarget_21,Target,C3,C, Шанкерите му направија сите по една пијачка на глумецот.,Rising + Comma < DO,Шанкери,му,пијачка_ж,глумец_м,2,STE-103,Targets,target_STE-103_mono.wav,Targets/mono/target_STE-103_mono.wav
BlockTarget_21,Target,D4,D, Шанкерите му направија по една пијачка сите на глумецот.,Rising + Comma < IO,Шанкери,му,пијачка_ж,глумец_м,3,STE-104,Targets,target_STE-104_mono.wav,Targets/mono/target_STE-104_mono.wav
BlockTarget_21,Target,E5,E, Шанкерите му направија по една пијачка на глумецот сите.,Comma > Post S,Шанкери,му,пијачка_ж,глумец_м,4,STE-105,Targets,target_STE-105_mono.wav,Targets/mono/target_STE-105_mono.wav
BlockTarget_22,Target,A1,B, Сите готвачи му зготвија по еден оброк на критичарот.,Standard,Готвачи,му,оброк_м,критичар_м,0,STE-106,Targets,target_STE-106_mono.wav,Targets/mono/target_STE-106_mono.wav
BlockTarget_22,Target,B2,C, Готвачите сите му зготвија по еден оброк на критичарот.,Rising + Comma < CL V,Готвачи,му,оброк_м,критичар_м,1,STE-107,Targets,target_STE-107_mono.wav,Targets/mono/target_STE-107_mono.wav
BlockTarget_22,Target,C3,D, Готвачите му зготвија сите по еден оброк на критичарот.,Rising + Comma < DO,Готвачи,му,оброк_м,критичар_м,2,STE-108,Targets,target_STE-108_mono.wav,Targets/mono/target_STE-108_mono.wav
BlockTarget_22,Target,D4,E, Готвачите му зготвија по еден оброк сите на критичарот.,Rising + Comma < IO,Готвачи,му,оброк_м,критичар_м,3,STE-109,Targets,target_STE-109_mono.wav,Targets/mono/target_STE-109_mono.wav
BlockTarget_22,Target,E5,A, Готвачите му зготвија по еден оброк на критичарот сите.,Comma > Post S,Готвачи,му,оброк_м,критичар_м,4,STE-110,Targets,target_STE-110_mono.wav,Targets/mono/target_STE-110_mono.wav
BlockTarget_23,Target,A1,C, Сите фотографи му изложија по една фотографија на кураторот.,Standard,Фотографи,му,фотографија_ж,куратор_м,0,STE-111,Targets,target_STE-111_mono.wav,Targets/mono/target_STE-111_mono.wav
BlockTarget_23,Target,B2,D, Фотографите сите му изложија по една фотографија на кураторот.,Rising + Comma < CL V,Фотографи,му,фотографија_ж,куратор_м,1,STE-112,Targets,target_STE-112_mono.wav,Targets/mono/target_STE-112_mono.wav
BlockTarget_23,Target,C3,E, Фотографите му изложија сите по една фотографија на кураторот.,Rising + Comma < DO,Фотографи,му,фотографија_ж,куратор_м,2,STE-113,Targets,target_STE-113_mono.wav,Targets/mono/target_STE-113_mono.wav
BlockTarget_23,Target,D4,A, Фотографите му изложија по една фотографија сите на кураторот.,Rising + Comma < IO,Фотографи,му,фотографија_ж,куратор_м,3,STE-114,Targets,target_STE-114_mono.wav,Targets/mono/target_STE-114_mono.wav
BlockTarget_23,Target,E5,B, Фотографите му изложија по една фотографија на кураторот сите.,Comma > Post S,Фотографи,му,фотографија_ж,куратор_м,4,STE-115,Targets,target_STE-115_mono.wav,Targets/mono/target_STE-115_mono.wav
BlockTarget_24,Target,A1,D, Сите практиканти му изработија по еден концепт на менаџерот.,Standard,Практиканти,му,концепт_с,менаџер_м,0,STE-116,Targets,target_STE-116_mono.wav,Targets/mono/target_STE-116_mono.wav
BlockTarget_24,Target,B2,E, Практикантите сите му изработија по еден концепт на менаџерот.,Rising + Comma < CL V,Практиканти,му,концепт_с,менаџер_м,1,STE-117,Targets,target_STE-117_mono.wav,Targets/mono/target_STE-117_mono.wav
BlockTarget_24,Target,C3,A, Практикантите му изработија сите по еден концепт на менаџерот.,Rising + Comma < DO,Практиканти,му,концепт_с,менаџер_м,2,STE-118,Targets,target_STE-118_mono.wav,Targets/mono/target_STE-118_mono.wav
BlockTarget_24,Target,D4,B, Практикантите му изработија по еден концепт сите на менаџерот.,Rising + Comma < IO,Практиканти,му,концепт_с,менаџер_м,3,STE-119,Targets,target_STE-119_mono.wav,Targets/mono/target_STE-119_mono.wav
BlockTarget_24,Target,E5,C, Практикантите му изработија по еден концепт на менаџерот сите.,Comma > Post S,Практиканти,му,концепт_с,менаџер_м,4,STE-120,Targets,target_STE-120_mono.wav,Targets/mono/target_STE-120_mono.wav
BlockTarget_25,Target,A1,E, Сите кројачи му сошија по едно одело на богаташот.,Standard,Кројачи,му,одело_с,богаташ_м,0,STE-121,Targets,target_STE-121_mono.wav,Targets/mono/target_STE-121_mono.wav
